"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
2;"U2";"SOT-89-3";1;"AZ1117C";;;
3;"C10,C3,C4,C2,C11,C6,C9,C8,C7";"C_0805_2012Metric";9;"CL21A226MQQNNNE";;;
4;"R9,R7,R1,R3,R6,R8,R5,R10,R11,R4,R2";"R_0805_2012Metric";11;"RESISTOR0603";;;
5;"JP2,JP1,JP3";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";3;"SolderJumper_2_Bridged";;;
6;"R13,R14,R12";"R_0805_2012Metric";3;"RC0603FR-7W10KL";;;
7;"J2,J1";"PTS526SM08SMTR2LFS";2;"~";;;
8;"J3,J6";"1X04_1MM_RA";2;"I2C_STANDARDQWIIC";;;
9;"C1";"C_Elec_8x10.2";1;"RGA221M1EBK-0811G";;;
10;"D3,D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
11;"J7";"xt30";1;"~";;;
12;"J5";"GCT_USB4520-03-0-A_REVA";1;"USB4520-03-0-A_REVA";;;
13;"L1";"L_Changjiang_FNR5020S";1;"SRP3212A-4R7M";;;
14;"U3";"SOT-23-6_Handsoldering";1;"TPS562208";;;
15;"J8,J4";"PinHeader_1x16_P2.54mm_Vertical";2;"Conn_01x13_Pin";;;
