Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_6.3x7.7,1,RGA221M1EBK-0811G,
"C10, C11, C2, C3, C4, C6, C7, C8, C9",0805,9,CL21A226MQQNNNE,
"D1, D2, D3",0805,3,LED,
"J1, J2",PTS526SM08SMTR2LFS,2,~,
"J3, J6",1X04_1MM_RA,2,I2C_STANDARDQWIIC,
"J4, J8",PinHeader_1x16_P2.54mm_Vertical,2,Conn_01x13_Pin,
J5,GCT_USB4520-03-0-A_REVA,1,USB4520-03-0-A_REVA,
J7,TerminalBlock_bornier-2_P5.08mm,1,~,
"JP1, JP2, JP3",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,3,SolderJumper_2_Bridged,
L1,L_Changjiang_FNR5020S,1,SRP3212A-4R7M,
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R8, R9",0805,11,RESISTOR0603,
"R12, R13, R14",0805,3,RC0603FR-7W10KL,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-89-3,1,AZ1117C,
U3,SOT-23-6_Handsoldering,1,TPS562208,
